message,created_time,active,alive,arts,vegetables,beautiful,big,blue_collar,career,cheap,children,closed,community,cool,culture,descriptive,design,innovative,responsible,appetizing,ecological,emotionally_stable,evaluating,expensive,extroverted,family,fascination,female,friendship,functionality,healthy_positive,healthy_restrictive,winner,flavor,kind,lifestyle,loyalty,funny,male,mental activity,modern,music,music_genres,musical_instrument,sustainable,natural,new,diligent,performance,pleasant,bargain,polite,positive,power,practical,protective,likeable,safety,science,see,show,sensual,sport,sporty,appealing,teaching,technical,open,traditional,individual,heritage,trendy,trust,trustworthy,uniform,easy,valuable,warm,white_collar,young,social justice + migration,social justice + dairy free vegan,values,url
Das war’s erstmal mit Insel Bildern aus Urlaubsorten! 🌴 jetzt wird wieder das graue BERLIN gerockt,2018-06-25T21:32:09.000Z,0.32875722457712603,0.27742375465329305,0.3060893538505688,0.28800810777720504,0.5593490718048137,0.3446576808769744,0.028010987506601172,-0.040530222395083415,0.1658241727799605,0.17526887794147386,0.17493440368891292,0.14525456699932318,0.3836013162509728,0.32471641682164404,0.32508656184836554,0.14871455042858495,0.0013671056393525752,0.055554241121602385,0.3052971279410344,0.3477998048611853,0.2703823720292293,0.1019740913752109,0.16243800416907628,0.1987335706877677,0.3058783083353521,0.35191224335271,0.3091585991740597,0.32748370556915946,-0.06288887786289185,0.10983153499706083,0.12322533731827595,0.16154526344131254,0.3614675786166933,0.402339262238006,0.3080767341413474,0.05872885881566897,0.31119362896649283,0.25530796749598994,0.17261791142385538,0.2576150102692137,0.2789949543775169,0.10414059606149896,0.09440584528180412,0.1179555537838942,0.36141111219392985,0.3067284533533633,0.13686831854547926,0.19432681058362475,0.5122332387343989,0.034860586088823566,0.21619563641197165,0.03824312752896115,0.16755123813847408,0.11102145376485342,0.18283034990585806,0.3929021553813648,0.09441906191923062,0.02161322113947513,0.3917124409645571,0.19787342001621408,0.4032189411632751,0.08767427356812169,0.2834288706005815,0.4366123107315382,0.1533371272178221,-0.03352988719979435,0.29620217425909,0.3888002080760885,0.3984423719272511,0.2616321484618536,0.3508562339467985,0.08354978428388696,0.014212602829555774,0.16959645617201088,0.25284987888059746,0.3259481012015898,0.34410865125801304,0.038626434158277975,0.3357968263176348,0.06279804401774956,0.07828299919556056,0.14718840249682122,https://www.facebook.com/search/str/Das%20wars%20erstmal%20mit%20Insel%20Bildern%20aus%20Urlaubsort%20ben%20jerry/keywords_search
"Herzlichen Glückwunsch @dagibee und @eugenkazakov
Die Hochzeit war so wunderschön, musste sogar weinen lol 👰🤵💕",2018-06-24T16:49:14.000Z,0.3895514948085582,0.1887239031726983,0.19201139001163106,0.28613081808268165,0.7105684388488668,0.2584740764212904,0.1177161074682077,0.08321286193569763,0.1097007432399384,0.26269885151358824,0.17564475187046258,0.1783420722570344,0.4524567863946987,0.17327811398365492,0.2748210044550597,0.1256339066553761,-0.08506150785407086,0.1445517561876988,0.4827585907790609,0.15935802596634113,0.42888003774191497,0.1453472536280195,0.2400805126384698,0.3851389095905832,0.5447626266977033,0.35460127010653913,0.5074688684981804,0.5251841384084737,-0.10499701349443286,0.07433855773738046,0.16489122761903074,0.40712829847911786,0.42095933211875375,0.4886951019116184,0.30517019830559056,0.299777055007096,0.4649415177389008,0.3847340247279009,0.1877637789847123,0.11932871236172868,0.16984259522000836,-0.06526693992615297,0.15084045639954966,0.11198963325894147,0.3384305656499022,0.2364105198160329,0.4053785633753315,0.19757760522568388,0.7546170262272869,0.07002440483333723,0.3810417716515137,0.10476186019318087,0.14048741523720626,0.2746034164115703,0.2712121245667469,0.5961496648998065,0.07115470799979283,-0.04247812460918325,0.3231976953829622,0.20108109479448535,0.4897789438337538,0.06029750254571644,0.3189998408948141,0.5364326330398379,0.20624514551840625,-0.07744118801304971,0.3252938594163459,0.2617172791454963,0.4858610693184051,0.1877069364622437,0.3182040691701594,0.2925112157242877,0.13555773317352166,0.12383722870375365,0.28276810515270984,0.4577304180129129,0.4701488167691102,0.03418264378620192,0.26109303936084965,0.13551147936864652,0.06646483278225677,0.21146423696728922,https://www.facebook.com/search/str/Herzlichen%20Glckwunsch%20dagibee%20und%20eugenkazakov%20ben%20jerry/keywords_search
Beobachte alle cuten Pärchen die zusammen den romantischen Sonnenuntergang gucken beeing Single af 🤓 🎉,2018-06-21T16:52:02.000Z,0.2883001994026738,0.184277814413255,0.16036035310241675,0.1415712434574141,0.3863539578983345,0.27209525278708996,-0.10355613677480834,-0.1543813450666669,0.07656512617033892,0.18598003690071085,0.1696272397062002,0.0188315324412762,0.3457991954996918,0.045248718781353336,0.21732047823147174,0.15507009286966947,0.08483926194524855,-0.0018550464355715128,0.2006397603816543,0.2920855408137312,0.271840950836989,0.060292329656238826,0.17220568090927396,0.19043917111737668,0.226145802817259,0.26378213020678,0.2433501370302792,0.262025546325632,0.14272187120457147,0.1283068093668203,0.09822265406416887,0.02799995170698275,0.2829005861034158,0.3655243395055873,0.1794465940770646,0.1003963360954189,0.3047209864395305,0.1906305968414954,0.16041333611463285,0.09721589480665854,0.3161910236217875,0.2579571553723059,0.08421997409472072,0.1081796966768608,0.3209524174001134,0.15115710162758433,0.03640607836767135,0.2427886795953941,0.3705792128483317,0.020321216942620558,0.25870543665734685,0.01903119511139805,0.05120924060036886,0.012206059360367168,0.12431765782718013,0.3223637403765444,-0.04100763246148095,0.05547700802658779,0.27136321240755,0.21714927365628173,0.4175415838090361,0.10330450770653384,0.2404438646665261,0.3863947004313162,-0.011038860384194596,0.0578677731512775,0.20435346352700792,0.21722884387728855,0.250724000571772,0.18089107760075374,0.2492250621347337,0.039588399495455236,0.0007959840237506697,0.07715849815823833,0.199037561864352,0.2954768968155923,0.2707253293134554,-0.12228345817643264,0.3102901908882361,-0.07709535030344307,0.03791212059511562,0.18957383725887997,https://www.facebook.com/search/str/Beobachte%20alle%20cuten%20Prchen%20die%20zusammen%20den%20roma%20ben%20jerry/keywords_search
Mein letztes Bild von den Malediven! Ab nach Ibiza 🤩 wo willst du dieses Jahr noch hin reisen? ✈️,2018-06-20T20:20:08.000Z,0.21003925983908345,0.1975139556209288,0.22211663302507195,0.16872910617345166,0.3465947139845214,0.2631151840644782,0.047441075433199816,0.07316229929015164,0.1275814118271004,0.19108331496364875,0.16844286077531434,0.13120058824589814,0.27609050133584395,0.3198143355713437,0.21776527562282388,0.07305288414902665,-0.036154087657762735,0.12391421433899608,0.16099083298844916,0.23968341939085305,0.24192591751293124,0.16135994057410516,0.2099448501101424,0.16668588289682762,0.36512975781873097,0.3083973049561884,0.2230378200943096,0.2928925988087154,-0.0014742724171648946,0.09203138215234906,0.16349162348176668,0.1708326720439223,0.2329800424040761,0.3017187819113217,0.3679405023137339,0.11606752342076138,0.19245363305520746,0.21757691609397894,0.1917037173261464,0.2589857844409587,0.17392888821839936,0.04609801397375278,0.0062683234725364155,0.108223742894692,0.2525000913942509,0.2489051119345897,0.13100638651379468,0.14881384235578393,0.43651708123569855,0.1107929940105484,0.22687388506005335,0.07087742137573758,0.16016726632883588,0.17426870530631616,0.2022936903939989,0.2961599874806256,0.08284588419759634,0.07294266876311244,0.2627737292987292,0.13815372780884605,0.2669169558776386,0.1559833092615681,0.2683261351307932,0.31511320072133714,0.19733773587658301,-0.007475716435357194,0.2308352462232695,0.28919894686548825,0.3735120074043786,0.2327905603597885,0.29945603482432404,0.15567625361327114,0.050777816316700565,0.22098598225397256,0.2051292466136812,0.3181144181690818,0.22494652635333634,0.025486252605928083,0.2981491389004188,0.04959617513829579,0.1557980056407598,0.1873793584081832,https://www.facebook.com/search/str/Mein%20letztes%20Bild%20von%20den%20Malediven%20Ab%20nach%20Ibiza%20ben%20jerry/keywords_search
"Egal wo - Sofa ist immer mein Lieblingsort! Welcher ist deiner in einer Wohnung? 😂
FAIL ROOMTOUR aus den Malediven ist jetzt online! :)",2018-06-18T14:02:07.000Z,0.23396288779305774,0.2356941423186993,0.060078557341376675,0.15131758002072973,0.4369891881305117,0.2633254698440153,0.09732174177952473,0.15320792644743844,0.24393788532394706,0.25404520834204997,0.2954907045661561,0.11731028957386995,0.4622800909537572,0.18346533033610735,0.193419726770806,0.21439917909240416,-0.020434530858095285,0.1508158507197227,0.25940807441830843,0.18177059650522606,0.2881533131856423,0.1856200518609424,0.33947323327192064,0.2489421840205812,0.3955212829778544,0.27059644434546304,0.23265136398235714,0.29366452280265426,0.061831860093801636,0.13638129105769053,0.2191690547077849,0.10594439373187572,0.24100598699358944,0.3423962962292667,0.3540706070731561,0.060944911106150274,0.23847390894523746,0.17361889939010874,0.20338106472191333,0.2296221536596981,0.08896641526043411,-0.03588611425210872,-0.07128607005995227,0.1867787066265852,0.3310115563777251,0.2506049003785609,0.22085239839197304,0.12192208377097105,0.4546517044543854,0.04123364218343188,0.2820381181697155,0.18447349078073103,0.1358209454854072,0.20875306360351412,0.21237385426824928,0.37473519781146186,0.1673163935559931,0.01121934422091477,0.22356956084639545,0.07205259825920625,0.301213940307324,0.05308033459023888,0.2604596589565958,0.411130301252043,0.12749726485597812,-0.019910948708254533,0.2509730507174928,0.230472184316124,0.3633213483015909,0.223034101165142,0.3435227995992298,0.17493190680675846,0.11990912695917995,0.20625929179058203,0.4556147768056679,0.4033079481277649,0.24305189889451465,0.05366219556456905,0.3183215159563193,0.06431763793903726,0.11411755552466035,0.268006300223012,https://www.facebook.com/search/str/Egal%20wo%20%20Sofa%20ist%20immer%20mein%20Lieblingsort%20Welche%20ben%20jerry/keywords_search
"⛈⛈⛈
MORGEN 14 UHR kommt meine absolute Fail Roomtour aus den Malediven online. Ihr könnt euch auf was freuen 🤦",2018-06-17T18:16:27.000Z,0.20945243109419395,0.2400920921013377,-0.0733788323410536,0.0688211088283105,0.3470044512235581,0.1902263194759473,0.04626612450166992,0.17631065210597124,0.20098858443750608,0.10275697594803801,0.2836743485481357,0.06775012657707273,0.3771394514382173,0.0839047113592722,0.24340774628246944,0.14615913716276732,-0.013056008269921166,0.25944452483254915,0.2606253745148773,0.06084274885894424,0.27296470408196954,0.2535224802777721,0.2921184714352977,0.25928124358226984,0.20129723554741194,0.26982795095900103,0.1400065858502599,0.2175269956894517,0.1050601904514496,0.10925665309415374,0.2328360355662496,0.22161172448863292,0.2150976166891776,0.3013945892609732,0.1812160847485736,0.13692137913862598,0.2029068529609338,0.0827514963679383,0.1773893437925692,0.2160753942789793,0.05020112679221391,-0.13260895291236766,-0.1078086641669232,0.15700340574000746,0.3241505293132349,0.2003702023423838,0.3617637740955461,0.1992577352866665,0.35524091618639514,0.06780728595675338,0.3611892014406479,0.28202532527311064,0.09411404255373884,0.31739339427883695,0.31002599889173554,0.3933065719132846,0.13783017019949198,0.011864359452610829,0.266555637265714,0.049924958307900405,0.26113485298657924,0.02997346262008755,0.20410099655614009,0.3679314597887079,0.1754282175177236,0.031204142777727536,0.19172779229557768,0.15235840503244194,0.4417864316437329,0.1900055998484865,0.3322164207159441,0.2746413496740166,0.2497472821456779,0.25462690943531563,0.375958567015008,0.3611084649132042,0.24617742819835184,0.03185585889272112,0.265329699152509,0.06145092062114432,0.09654150080467792,0.2789620936058516,https://www.facebook.com/search/str/MORGEN%20%20UHR%20kommt%20meine%20absolute%20Fail%20Roomto%20ben%20jerry/keywords_search
Married My Gay Best Friend 💍 lol,2018-06-15T10:45:49.000Z,-0.08338137048556796,-0.2728642941184133,-0.05731688231623276,-0.08913637189598271,-0.07894415744144283,-0.12510176075727325,-0.043915113416702865,-0.17913151809885844,-0.016055083922313324,-0.015014875102323253,-0.0398495872082374,-0.13270519892678104,-0.034210317923309155,-0.17878116996356694,-0.15873033701430375,-0.04498871532247722,0.009062242531584169,-0.13786217661556469,-0.11419760130475905,-0.16005299085933367,-0.11886544712648188,-0.17854448307422188,-0.0718209877303819,-0.08436443353611636,-0.0675409174236587,-0.13996849448552484,-0.03942023500878055,0.045856129279848216,-0.08267021475989245,-0.02148538555093972,-0.10127574638730552,-0.0047477263450512,-0.04285919450232372,-0.15228944766668054,-0.10718669579007437,0.02251108260064721,0.06473267440704017,0.0062640774808030465,-0.120203161345202,-0.2589604081413512,0.12778397518028273,0.22921537502620504,-0.03089914000634655,-0.1078489767532224,-0.1713042139302086,-0.18039628883442727,-0.10969446971535438,0.09958137280738498,-0.1009468923876414,-0.058479184790369176,-0.07668321225846354,-0.1254011960727366,-0.1778681227407383,-0.18596895074129907,-0.1742968905219949,-0.10058628543365247,-0.16754133525889264,-0.08963686198099569,-0.009169684295002277,0.19821286969094026,-0.06722235189548016,0.03125684637629078,-0.12441100366775547,-0.11055649781568318,-0.15355514169719342,-0.13369070110112075,-0.11562001454757223,-0.18749755645966185,-0.1927185666427788,-0.16498586142914126,-0.0624180340667542,-0.152298608810987,-0.17170429432752565,-0.24668787824475955,-0.12325161849188493,-0.12096487578909955,-0.09337940129960616,-0.00793969674980372,-0.05523077266749297,-0.13981834833903595,-0.09667985237901043,-0.15278220616629193,https://www.facebook.com/search/str/Married%20My%20Gay%20Best%20Friend%20%20lol%20ben%20jerry/keywords_search
Flat Butt appreciation post 😤,2018-06-13T16:27:11.000Z,-0.06538265230239343,-0.12003198052272195,-0.07366772904400379,0.001488000347340319,0.002143951857681721,-0.02235026649227306,-0.04100813013984899,-0.23773643531156285,-0.016900967027763125,-0.04878584408778185,-0.0242572094045676,-0.15843248051154904,0.0726594788658445,-0.20716469934139836,-0.09466304059069187,0.06668983557291593,0.02410261231509925,-0.18221155952668425,-0.02615133972820496,-0.1546596937548496,-0.04391681991289896,-0.12925825399636845,0.006135771679994879,-0.1062946927284975,-0.19156174300806475,-0.106047434270995,-0.07290540356336063,-0.01729332900983611,0.03108155418675533,0.02321349287577814,-0.035816268688467164,0.02610318680043289,0.014997348518483913,-0.08757166946155709,-0.15024645862650568,-0.06257579373675623,0.046234043996558165,-0.0705342486901821,-0.08580568577962157,-0.1960314958120591,0.10625726739532527,0.137001662658536,0.004454137859130316,-0.1567922238057857,-0.06365346251135014,-0.15022437592624036,-0.03429757846962055,0.14499579789015685,-0.09070946498736313,0.01118519281429265,-0.0406096730463258,0.023678127814595776,-0.06227741902333697,-0.21272801077007464,-0.11001865217076616,-0.059256473025260235,-0.11590811952432956,-0.10375736750100137,-0.015901722969828606,0.08745923487330362,-0.013734966906354616,-0.004537416450479951,-0.053921460485862216,-0.05070327106679545,-0.15830698460455514,-0.09475161328718698,-0.09423567557205932,-0.14427077191445,-0.0742648078177663,-0.07526788194226817,-0.0323126509652865,-0.13297296693883126,-0.05756967610146655,-0.1339399253157708,-0.027652614988600072,-0.04346815839371263,-0.11463721472686375,-0.08211614034692237,-0.003710507511622185,-0.12623804956242424,-0.1297393305769159,-0.07883763961344732,https://www.facebook.com/search/str/Flat%20Butt%20appreciation%20post%20%20ben%20jerry/keywords_search
"Egal wie viel Sonne ich tanke, ich bleibe immer Albino Kelly! 🙄",2018-06-12T15:41:36.000Z,0.3764165798536535,0.4240357279966385,0.14022280116094826,0.3155542336441408,0.5424353742732114,0.4185652267876903,0.11428146329901068,0.1689626439719561,0.1716368998508394,0.28469125398725503,0.3249200995346941,0.2191500367874977,0.4687226925196874,0.18399188496074287,0.2621818513479349,0.18318106319646732,0.014147656006353163,0.2761520899870194,0.335268671470716,0.5157387586150459,0.42612744731653,0.2223681114874916,0.3591744142729337,0.29542919933599177,0.4123468719711412,0.2982549564398906,0.3740949520250259,0.3721844478317561,0.06634085188327234,0.30236654311635514,0.310198325974395,0.18054436887465106,0.4308838368756289,0.5639585620547548,0.4886678961744431,0.2175118777035397,0.28423970460412906,0.3126317203307121,0.3404152375105421,0.24897525806360815,0.1951044209091923,0.03113827468825357,0.012112018238392232,0.31429518118136673,0.4463079364865742,0.3024256933205249,0.2669597366605649,0.21615980576797236,0.6300979975521421,0.058270280880901415,0.3947154943250871,0.2661911875152245,0.3845647601952826,0.23197601676696786,0.3914307264299424,0.5194041455916767,0.22782896246678336,0.1427025857381368,0.30205296965068595,0.10552394427581742,0.3966060334445897,0.08413022577430727,0.4398840719714572,0.4412689547011652,0.19484272488775084,0.033303087273164576,0.2570985563569645,0.32032818153490017,0.3769876832265191,0.28097446215876504,0.3811719112062837,0.3016488421182004,0.2215283407470109,0.13702244369030922,0.3907354190265895,0.4439945038117683,0.36639065973718016,0.048505973838983335,0.4257338926381217,0.13625488017172924,0.2570241529750997,0.3524711637325615,https://www.facebook.com/search/str/Egal%20wie%20viel%20Sonne%20ich%20tanke%20ich%20bleibe%20immer%20Al%20ben%20jerry/keywords_search
"#werbungwegenmarkennennung Thank you @sixsenseslaamu for having me once again! You guys are just amazing, I had such a wonderful time staying in your little paradise on earth! 🏝💕",2018-06-11T15:33:56.000Z,-0.1845592829715538,-0.3086455327901984,-0.15776922831091228,-0.15990911829920718,-0.23744806904484064,-0.21264981191571491,-0.0845811523979562,-0.26478213057920397,-0.10652117015187157,-0.1225102918904987,-0.16400440345241898,-0.20722002733758912,-0.1523473424570999,-0.2418690039043926,-0.262438729035419,-0.016277100837911555,0.05983120616229162,-0.26391598703683344,-0.21238226879222635,-0.18410642346006545,-0.2247639378732809,-0.2627867750537158,-0.14980313460718786,-0.2424031762512535,-0.2852323274877307,-0.2170661058102281,-0.2499919478819153,-0.2108052380562949,0.04242493036049536,-0.032675192123518694,-0.1916025295344988,-0.17108110544303953,-0.2302592757245938,-0.3053127089494829,-0.2395609439958053,-0.1321961856141812,-0.1381214374281593,-0.2415474343370527,-0.13142207890743454,-0.32873687586844674,0.126739197054122,0.30169318356031594,-0.055118935566660296,-0.21222109979818485,-0.2544187250341199,-0.3226635541186307,-0.21387561763899207,0.0957195355018595,-0.31564632531954684,-0.1111220162014073,-0.24608902238483926,-0.1510210138383403,-0.15878034864150828,-0.2997451325486956,-0.2680756949836619,-0.27959735588111795,-0.2501270546860912,-0.08938140675543986,-0.0968209319286482,0.08888108676314903,-0.1901323007642112,-0.03075823627712015,-0.22447235893831916,-0.2336540603696015,-0.24692609548988276,-0.15011495005830502,-0.2401567623057197,-0.3052320791308551,-0.294329318507265,-0.2646243556582205,-0.18802650714701616,-0.2113828074755816,-0.1872739573850888,-0.3154024002254857,-0.18922038873628846,-0.23868665174326906,-0.2420461275636681,-0.1144597496667358,-0.12258442274105845,-0.1843411467054347,-0.1888635126661192,-0.20848128747365383,https://www.facebook.com/search/str/werbungwegenmarkennennung%20Thank%20you%20sixsenseslaa%20ben%20jerry/keywords_search
