message,url,above,active,alive,arts,vegetables,beautiful,big,blue_collar,career,cheap,children,closed,community,cool,culture,descriptive,design,innovative,responsible,appetizing,ecological,emotionally_stable,evaluating,expensive,extroverted,family,fascination,female,friendship,functionality,healthy_positive,healthy_restrictive,winner,flavor,innovative_rachel,kind,lifestyle,loyalty,funny,male,math,mental activity,modern,music,music_genres,musical_instrument,sustainable,natural,new,diligent,performance,pleasant,bargain,polite,positive,power,practical,protective,likeable,safety,science,see,show,sensual,sport,sporty,appealing,teaching,technical,open,traditional,individual,heritage,trendy,trust,trustworthy,uniform,easy,valuable,warm,white_collar,young,social justice + migration,social justice + dairy free vegan,benandjerryness
"Wir haben Geburtstag und IHR bekommt die Geschenke... ins Büro, in die Uni oder sonst wohin geliefert! Bei wem sollen wir in Frankfurt mit free Ice Cream vorbeikommen? Macht mit auf: https://bit.ly/2IwcM3q",https://www.facebook.com/search/str/Wir%20haben%20Geburtstag%20und%20IHR%20bekommt%20die%20Geschenke%20ben%20jerry/keywords_search,0.3021239333228334,0.2374299034505807,0.2221803327884488,0.04490413769212885,0.1813423764801136,0.3221541348067993,0.2122938950522632,0.11600190258823315,0.16526425411864454,0.13912217231800886,0.17284249020928275,0.22273114763668606,0.021020226526843787,0.3379392317303105,0.13556644829599526,0.1131217239165425,0.052201270223703466,-0.04831710844593782,0.05554398368820892,0.2559274772211483,0.0357096507495458,0.3141182962217244,0.1694631134292322,0.24444562289473534,0.215469854089952,0.3149536407070704,0.20910288595204413,0.2532098855281056,0.30764199921128305,-0.022456291232834373,0.052820853336986495,0.16959374057649845,0.17995370513487394,0.2642578571746103,-0.006508810463434066,0.2946147475338012,0.1939644545572662,0.07856673187934178,0.2128621234725825,0.1992281443394964,0.016113809716898794,0.1328529795761586,0.1595537917402732,0.08502058581995092,-0.04830282278285302,-0.01781981419577731,0.11942925965422885,0.217163481678311,0.15935489344664333,0.31965616967473226,0.06149305587929205,0.3781165848888199,0.11766849809629745,0.286759528768817,0.09860287443640774,0.04320046678073704,0.20511083440018404,0.21909323785724255,0.3319517314752218,0.19038083459493227,0.06371014125265848,0.21521650713482404,0.06703168452919718,0.18819731334110326,-0.009282533154482535,0.17943550304518388,0.2810216487588744,0.1554087985922376,0.04220160516900752,0.2424852490752864,0.16277725928347234,0.2731089499142971,0.1728558659104588,0.27076811664015377,0.1021650373472454,0.09653397382869328,0.16332084101302274,0.2620858069790478,0.2584543265355948,0.296974617949459,0.10067253608564422,0.24206820109018515,0.11286109922002956,0.07308788570707883,0.28427345578502233
"Wir haben Geburtstag und IHR bekommt die Geschenke... ins Büro, in die Uni oder sonst wohin geliefert! Bei wem sollen wir in Dresden mit free Ice Cream vorbeikommen? Macht mit auf: https://bit.ly/2tAiyfM",https://www.facebook.com/search/str/Wir%20haben%20Geburtstag%20und%20IHR%20bekommt%20die%20Geschenke%20ben%20jerry/keywords_search,0.3095370207345147,0.2538380252589492,0.2253423835868615,0.05114843071328462,0.2068080835836134,0.33962497901135197,0.21514848905380776,0.13525771248859464,0.13641540895769588,0.1258941147691674,0.17260317991178872,0.2358762656682563,0.01930943816705437,0.3472038379734773,0.13818794461135486,0.11803760340476947,0.06324253739685222,-0.04151841534210242,0.06031679143307332,0.2696801822433077,0.036855111478218384,0.3334895860420476,0.16999406029591682,0.2343019021820611,0.2062239211704196,0.3305418382038894,0.21222166578752574,0.24728490323015684,0.33596405101855137,-0.02783859352204112,0.047837976280626256,0.18760608409282556,0.1808794760109804,0.2878317907148078,0.004346931919205454,0.32162199617065435,0.19539856757281085,0.09672234109288053,0.2328518224353683,0.1857470523544348,0.018799918323728404,0.13218391297665846,0.1667119616624001,0.09677070630312687,-0.048198589006538506,-0.005396719639505859,0.11398205049578256,0.23128734387354696,0.1565111490524984,0.3365705013567481,0.06007877528190474,0.4074141275233917,0.14208919780764748,0.28768132182130884,0.09872380550985736,0.04437429879307898,0.21112520224048006,0.24395007295512802,0.33383112814692073,0.19880360824041948,0.08401041688987394,0.22188273045116752,0.07236092349569972,0.20498909377094668,-0.005078636726232167,0.186077356910312,0.2898376088546474,0.15313618747501678,0.03460361240635609,0.2483537000319928,0.17758847902576094,0.2816655628658362,0.1817788440368656,0.2624288912332301,0.10993286712828468,0.09947579492616976,0.1493282317401894,0.2822135404484666,0.263738405300608,0.29917301246865424,0.06202326818426133,0.2392607094480293,0.11446068293906672,0.06945969147978301,0.29645343210087943
"Wir haben Geburtstag und IHR bekommt die Geschenke... ins Büro, in die Uni oder sonst wohin geliefert! Bei wem sollen wir in Leipzig mit free Ice Cream vorbeikommen? Macht mit auf: https://bit.ly/2KmLsqa",https://www.facebook.com/search/str/Wir%20haben%20Geburtstag%20und%20IHR%20bekommt%20die%20Geschenke%20ben%20jerry/keywords_search,0.2952152153130779,0.2487016566989449,0.21802508917139696,0.061028726488891565,0.2003614200563157,0.3275714469762566,0.21258724613906624,0.13201844965498702,0.14047728035970014,0.13038947320845048,0.15249412388819206,0.22126175351945204,0.026947646681392472,0.3432240354426869,0.13709730469946854,0.11511244834205107,0.04730649213380375,-0.037618689445935036,0.04751953091043595,0.2496852563544877,0.029257851801712895,0.3314649305762349,0.16714907302149662,0.23035447383526275,0.2086329970005769,0.3142736113005527,0.2129337067204364,0.24170040914811056,0.327780231568362,-0.03918845666087525,0.04868290090939631,0.17871372139370906,0.18527405721299595,0.2695652434368886,-0.008851129217274871,0.3090112209440874,0.19175015991960814,0.09231884706670224,0.22208460350120465,0.1939205450625166,0.01646924653027904,0.1238428356544534,0.15249302211415708,0.10606613820122124,-0.03171037407068199,-0.0006058673256204793,0.1073682188507912,0.21951188308098446,0.15434278770275606,0.32361546524099216,0.06711158425902519,0.39315558833862185,0.1324352543353619,0.28210573356898344,0.08997753955944528,0.03542885504988584,0.20061342534881413,0.2289271822898931,0.3320808516573114,0.20219715135024285,0.07028245671238037,0.22062984265231306,0.07222936747776648,0.20167969974396505,0.008736230923461678,0.18018994523202103,0.2799196493621877,0.14689415577622056,0.03793506777309908,0.2465752938354573,0.16640119288201544,0.26683162919049314,0.17122097124338234,0.25464168363798617,0.11020313423453076,0.08790909056848656,0.14009889239038806,0.2716113526793025,0.2537298142124223,0.2973751229555673,0.07116021889580627,0.23972693937091,0.10035809707505793,0.06779805770792367,0.28885777776984056
"Ihr könnt euch dieses Jahr doppelt freuen, wir feiern nämlich nicht nur Geburtstag, sondern bringen unsere Freunde von  Start with a Friend mit auf unsere diesjährige Tour. SwaF baut Freundschaften zwischen Locals & Geflüchteten auf. Lust auf neue Freundschaften? Dann besuche SwaF auf: facebook.com/startwithafriend/","https://www.facebook.com/search/str/Ihr%20könnt%20euch%20dieses%20Jahr%20doppelt%20freuen,%20wir%20fei%20ben%20jerry/keywords_search",0.2393940077399532,0.3206127784464163,0.2478946386183908,0.13393006184328035,0.15427408728265365,0.2971210187025917,0.1967477757360412,0.057807653617239774,0.1418617895124743,-0.040041459445135694,0.1998603774040429,0.13720335942300238,0.3848533362469547,0.3307470734418926,0.363432478502542,0.21572302239639748,0.11408802776462193,0.04790496334099738,0.1091164493606092,0.2927942476108385,0.09575108490712364,0.2812331317160908,0.1001350281275242,0.09052334741362657,0.3636971056607015,0.4458165488794609,0.3227883269185654,0.2474429747894297,0.5827257916368281,0.009503491174028688,0.03011287105498293,0.09499371611643696,0.2595737381394723,0.20477073540399765,0.0008150333942547861,0.2797533183728682,0.32063207006585603,0.4119592228384363,0.2624538471567697,0.24272077119757876,-0.07580039107068905,0.23615927983309806,0.1759843767556682,0.2257502769497008,0.03108398930492129,-0.0011426998819477792,0.09980648953364077,0.1986731283241264,0.1957822692378108,0.2935939294261542,0.2898973804772949,0.4805400442082871,-0.019347332294397626,0.29745768095539565,0.17250147820204584,0.11972971551704555,0.22211060804774052,0.15347378136815273,0.3968849314574177,-0.012023685347387007,0.05599266747816607,0.4027542310107101,0.22237330122189425,0.24248996604856016,0.1371377099237905,0.31428536245059624,0.2965322052091621,0.27913823893449063,-0.014391669696349963,0.27667800295222705,0.2753988358371371,0.34533481731786336,0.2060239941979759,0.23805982090769195,0.2533444337423855,0.20176360304494687,0.1330764934902366,0.2013588877098154,0.2906964468179879,0.4218661125174175,-0.012284227343358314,0.3143176322696388,0.2988387277013277,0.1513075416656398,0.35693517691479915
"Wir haben Geburtstag und IHR bekommt die Geschenke... ins Büro, in die Uni oder sonst wohin geliefert! Bei wem sollen wir in Berlin mit free Ice Cream vorbeikommen? Macht mit auf: https://bit.ly/2N34KCP",https://www.facebook.com/search/str/Wir%20haben%20Geburtstag%20und%20IHR%20bekommt%20die%20Geschenke%20ben%20jerry/keywords_search,0.2886270839353087,0.2697661117909476,0.2195379820698624,0.07199009196881823,0.2009921699349048,0.3364269579723659,0.2377180403688572,0.11399772028892324,0.14435902800904726,0.15969650163728066,0.17325385025794698,0.22304928166877125,0.02346902042063197,0.3592578921241114,0.15097684040015955,0.13020129528078253,0.06882028661274021,-0.016000046243017537,0.07528129415312138,0.26325632642540586,0.05507330832600956,0.3289867530040085,0.17792955050475925,0.24136366835754716,0.2077678333862409,0.3179470819077266,0.2277943618929359,0.2704459780511998,0.3273492444394905,-0.005427490731643985,0.06250719489548869,0.21579983292736515,0.2001722693445164,0.2735217570809829,0.01953040605849228,0.3182798772757178,0.22334929709822107,0.0916509853091878,0.2380740288355037,0.19562102798296796,-0.009513811907482057,0.13275785692732547,0.1561491971765154,0.11091514567741274,-0.01853174169555592,-0.01794168521885252,0.1275998957394717,0.2318054809161651,0.152396586493148,0.3182882455825025,0.08819212910684737,0.4057509176586467,0.14771188371402347,0.3017144252268669,0.0980006337933352,0.05600066622971487,0.21170215180872895,0.2310511482691067,0.3454017043427711,0.2066557662476584,0.08038316737767667,0.2392844807649662,0.09291444563000477,0.2154915633324595,0.03477252366169832,0.20580004124436527,0.29720558181443113,0.1409311999050365,0.0480455917449944,0.2617627704552993,0.17520332280888076,0.2873366908282932,0.17199615494953582,0.2800194888073807,0.10464932447867713,0.09655291940438172,0.14294652875299346,0.2741270276379938,0.28304411890527426,0.3075318924958327,0.07035202452278111,0.2738101801727714,0.10346586527771663,0.10386162494674396,0.31325711754305086
"Wir haben Geburtstag und IHR bekommt die Geschenke... ins Büro, in die Uni oder sonst wohin geliefert! Bei wem sollen wir in Hamburg mit free Ice Cream vorbeikommen? Macht mit auf: https://bit.ly/2MpPj6q",https://www.facebook.com/search/str/Wir%20haben%20Geburtstag%20und%20IHR%20bekommt%20die%20Geschenke%20ben%20jerry/keywords_search,0.3134680086152446,0.2474749751006569,0.2221202574329428,0.042279550906142035,0.2026160317685875,0.34309700490730793,0.22066938202775815,0.1311962326844094,0.15617578848636296,0.1382532847407453,0.18137246547758912,0.23388446557102385,0.015707430678818482,0.3591508428092853,0.12731389476275734,0.11953073160583345,0.05705229930070031,-0.05266599965880126,0.06303655755547605,0.2631947882969132,0.03825564730694634,0.3310998917648162,0.17000794852721604,0.24779835093897445,0.2060430059636871,0.3336297446536625,0.21260727875238888,0.2575573620822119,0.3358133962313494,-0.028918066583763575,0.0530456587316423,0.18312331782733,0.18063138011114185,0.2745149503219065,0.0021033798227220553,0.31437686710846136,0.1992214039420821,0.09200480516977694,0.23399663864965495,0.19647991754838606,0.008913562317889683,0.13030361852856415,0.15056946407017455,0.09935664898225463,-0.04864111040884704,-0.01412191979780802,0.10973090676220293,0.23194011073128346,0.15598144058090674,0.3295824731858721,0.06469927508385451,0.4053128965977553,0.13082805411843118,0.2869551137295901,0.09736372416114876,0.05099966127853235,0.2138030549786188,0.24364290115105425,0.34045753969750725,0.21097126606548072,0.07135446545587018,0.21961343876566852,0.06897032117051688,0.19934551718543586,0.007075071297515567,0.1825853596976441,0.2873569965579019,0.1576878482361818,0.023473484417321718,0.2469320844819153,0.17167794610719406,0.2745279723891774,0.17463207671989162,0.27045149367340154,0.11072182543933963,0.0967271427590951,0.15134535500176707,0.2811920467752259,0.26413099949011243,0.29351685272734523,0.07398302029943075,0.24791788771257775,0.11094719995751368,0.07501787016889963,0.2919181793946002
Ein Tag voller ✌🏼❤️🍦Heute haben wir die ersten beiden Gewinnerinnen mit unserem riesen Geschenk-Paket glücklich gemacht! Macht mit auf: benjerry.de/feiert-geburtstag,https://www.facebook.com/search/str/Ein%20Tag%20voller%20✌🏼❤️🍦Heute%20haben%20wir%20die%20ersten%20bei%20ben%20jerry/keywords_search,0.3259309843063415,0.42673339487933704,0.2680448106690196,0.16877646174946348,0.327721862608716,0.5327690377946157,0.3656689553923953,0.05388175733115713,0.15394145213348098,0.15217301948724546,0.30167144545028923,0.22049584814918688,0.22399918755621775,0.3630759901249961,0.2142777654580773,0.25291669578246384,0.1796601753103848,0.03715442224085518,0.16413632951576945,0.4183287767791754,0.18433854286953705,0.3475247293190998,0.21382953540380312,0.2985505124752221,0.27311608119340464,0.5337901935432541,0.3157520723220859,0.4379242735901351,0.4794382829261431,0.07644672947708349,0.1585652863137458,0.2572614049259543,0.5010716939897224,0.4303113815919309,0.0733840055579492,0.420310866081241,0.3280880724646131,0.3601780197476318,0.3065088614479609,0.33565018412529074,-0.003958576643281228,0.2276452954254465,0.20753929559603604,0.14099095987606552,-0.04471275330473299,0.0401421648870977,0.20997612654083475,0.3624850044573925,0.34607782848379703,0.3457651043485942,0.16383376829004132,0.6999036079266956,0.22486077150367528,0.3314444945241119,0.2329331231100623,0.2206194055080327,0.2551383953778291,0.2891295144132971,0.5106139869659125,0.2034353645774485,0.03530847241961873,0.306765085967497,0.1597564476405618,0.39508045530124974,0.05837547731012392,0.3747527286712899,0.521203840686003,0.16561215370536642,0.054838938846951284,0.33754070332265523,0.3126834040110882,0.5089641404600554,0.2599268556178375,0.2942026033750567,0.2830584269363655,0.20598071984494215,0.20219354226060066,0.32596192748303626,0.562209358891969,0.4243989868083093,-0.03202511268049347,0.3315889016828484,0.1037098315294651,0.1584584076630851,0.42298445289011144
"Für 68,5 Millionen Menschen ist jeder Tag #Weltgeflüchtetentag","https://www.facebook.com/search/str/Für%2068,5%20Millionen%20Menschen%20ist%20jeder%20Tag%20#Weltgef%20ben%20jerry/keywords_search",0.2491267526844525,0.1447221252685997,0.3263003840672306,0.0655968556405156,0.13084323629250272,0.15438137126439694,0.3712247462790139,-0.02911489775095322,0.2491532651702729,0.16404611546328102,0.181369723772962,0.14416821217415166,0.2767776208803093,0.10563933710853307,0.19232607759741874,0.2439961418087752,0.19324263471648087,0.12070165256854178,0.2962317037993176,0.07953403228163929,0.22361096450351406,0.1854546909995934,0.30085028026543903,0.3869508294236469,0.03844712627088522,0.21795789501146345,0.19158234681889846,0.1777934030804535,0.09799531235101024,0.15625242487628185,0.13578707631079914,0.15873141748500907,0.22417609910419015,0.11597306182791288,0.19798674338538813,0.1817042667554201,0.27441241835936186,0.1875580336694884,0.02001287568058096,0.15768489681152525,0.042427594880356516,0.19133085727928612,0.2882305282996033,0.05041239411595012,-0.1242248642869494,-0.04434314218011115,0.25756764472400817,0.2820917878206445,0.29475651921735485,0.12445406924126867,0.12334452990023867,0.2423220507482188,0.0384339304870428,0.21121226324315867,0.2466458124393049,0.2392262904956503,0.1790544851445933,0.2745888211782723,0.2384399466806668,0.19286189864988407,0.13187251590423768,0.19407437324970356,0.03676396354852003,0.14163207790561982,-0.03423155284804786,0.13232342654732354,0.29308096198592803,0.1423076755121552,0.2343604604597006,0.15556272890079184,0.3328946046277702,0.36646080153394,0.2584222556040985,0.16420364516996416,0.26071792198361393,0.2276557781380336,0.2519481701478774,0.1895166068988683,0.2604547745676617,0.15386282818743774,0.0656358670954226,0.2837597754910287,0.197525973821989,0.2444785937920536,0.26857456281192915
Ein Traum wird wahr: Veganes Ben & Jerry’s gibt’s auch in echt.,https://www.facebook.com/search/str/Ein%20Traum%20wird%20wahr:%20Veganes%20Ben%20&%20Jerry’s%20gibt’s%20%20ben%20jerry/keywords_search,0.3519284455748925,0.40867352838419896,0.3853740014622324,0.2186474523820396,0.3407990648392885,0.5997311234192603,0.35555033618485193,0.10547499926051432,0.15958834596392862,0.2554422286865003,0.2439245132014525,0.3505947449065211,0.23122014931387866,0.4482047654495286,0.24722853868548986,0.3892842981193472,0.28734419210626944,0.04257294449867141,0.3749044327921438,0.4752318089474126,0.3113517363620438,0.37114452404719867,0.2411208213154784,0.35158106139300604,0.2983838244432092,0.3921443064795483,0.3982015554584833,0.3816537435795933,0.4303146538284559,0.05479017571471538,0.26233953432766755,0.3718460234292637,0.2568524868999002,0.4750045985135825,0.10930110250340656,0.4471831555044803,0.5212265930554623,0.3519279201968032,0.3645726018528629,0.3305891944391121,-0.05996120734714819,0.3369965848723474,0.2371253007333725,0.1958350428325624,0.008486748464787376,0.09475954606588594,0.3274880909144757,0.5470884293370766,0.33867559941497943,0.2950217056218399,0.2008836160402518,0.661332630012256,0.017266392665471884,0.44589723192792413,0.2079884206698678,0.2558970413585035,0.3343975486011335,0.3725438442440348,0.5849643392354791,0.1762608908017628,0.11442934648010834,0.3920869127809136,0.1957001246315545,0.4823698990324736,0.04778247943308039,0.3642729614416811,0.5263386192215413,0.2549809122069126,0.09086289933322084,0.3753306532537568,0.338456766278982,0.486809699504173,0.3312892249361294,0.3798271244861706,0.3992717318094745,0.2702128516376376,0.2141149482354616,0.34891191532482563,0.4983715810187933,0.4076800821527789,0.0955430456502494,0.34275593133199783,0.14175697318663313,0.4231479724923977,0.5080391220043466
Darf ich probieren? Nur einen Löffel?,https://www.facebook.com/search/str/Darf%20ich%20probieren?%20Nur%20einen%20Löffel?%20ben%20jerry/keywords_search,0.4726743601603024,0.2491684054130767,0.24202231376826835,0.0014056345768598535,0.42412152424755,0.4705782215372306,0.21553528237328376,0.07070916709540945,-0.007451009731258885,0.07868001224729455,0.14129142354315544,0.2454666017639804,-0.04413674160979279,0.3889078564465159,0.07440191852088203,0.18767706593673394,0.13622484601138093,-0.1062831555118616,0.07215865813350747,0.5676691723631346,0.0955569547608944,0.2421291596228525,0.24131206287227294,0.2575321899002373,0.17210042780703474,0.17615798820999204,0.26945434918082284,0.17113411102108672,0.24640173289986794,-0.07514669425959218,0.19190209672281328,0.3035833892128401,0.13472646811951994,0.5031085369206385,-0.05577998450076912,0.3746554323084913,0.1025620576099209,0.02309024014257809,0.24996457958342325,0.1285239058467031,0.04122165706015158,0.1513814722479034,0.07171322427766512,0.10855047021650747,-0.0486859801937269,0.13062090146240554,0.11221488177093604,0.3920698363629923,0.2499099686636988,0.24458158458917684,0.07097912067565278,0.3575612889489919,0.05225595436066918,0.2411228025099891,0.1264290803899926,0.03033461260869165,0.18080072374450584,0.3418023662799618,0.33889592708750993,0.05029537456952054,-0.0031162520374228985,0.19135197416295344,0.01184325789636619,0.2843353214646452,-0.019579552329402054,0.20169958459207327,0.311204542787944,0.22391449275795966,0.02125264928933577,0.20893314461493515,0.1899189421023489,0.2726824970356883,0.2651048243578593,0.17630828296005693,0.1468095798230347,0.07090582362298133,0.11190688007096887,0.3580061072155333,0.281934724011822,0.20176551369986973,0.017374464304297857,0.12858933415115106,-0.04330791326319413,0.060540507804307225,0.2555821996420667
