,created_time,message,success
195,2017-05-24T19:01:15.000Z,Was denkt ihr welcher Dialog hier stattgefunden hat? Schreibts mal in die Kommentare! ☺️,56717
128,2017-10-14T09:34:30.000Z,"Was war dein Lieblingsspiel in der Kindheit? Meins war „Stehbock, Freibock“ 🤓
Mit Sport bringt das Projekt, das die @kindernothilfe vor Ort Unterstützt, den Kindern bei Konflikte ohne Gewalt zu lösen. Mädchen und Jungs dürften in gemeinsamen Teams spielen um Geschlechtergleichheit zu vermitteln und im Gesprächskreis nach dem Spiel wird ermittelt was falsch und was richtig gelaufen ist!",56661
129,2017-10-13T21:41:12.000Z,"Der Erste Tag in einer Favela Rio de Janeiros! Zusammen mit der @kindernothilfe gucken @mirellativegal und ich uns ein Projekt an, welches sie vor Ort unterstützen 🤗 in meiner INSTA STORY gibt es mehr aus Brasilien! 🇧🇷",50909
