,created_time,message,success
272,2017-07-02T12:48:01.000Z,"Aktion im Hamburger Hafen: Rund 100 Greenpeace-Aktivistinnen und -Aktivisten protestierten heute Morgen im Hamburger Hafen gegen den Import von Steinkohle. Der Frachter ""Golden Opportunity"" (im Bild) liefert etwa 75.000 Tonnen nach Hamburg. Die Stadt ist Deutschlands größter Kohlehafen: 2015 wurden hier 7,7 Millionen Tonnen Steinkohle umgeschlagen. Damit erreichte Deutschland 2016 einen traurigen Rekordwert: Mit 43 Millionen Tonnen stiegen die Steinkohleimporte auf das Doppelte des Jahres 2000. Die CO2-Bilanz stagniert Deutschlands, obwohl der Anteil Erneuerbarer Energien steigt.

Zeit für einen Richtungswechsel, Frau Merkel! Teile die Aktion und unterstütze unsere Aktivisten mit ihrer Forderung für mehr Klimaschutz. Alle Hintergründe ➡ www.greenpeace.de

Übrigens: Unsere Aktivistinnen und Aktivisten am Anleger, in den Kajaks oder als Schwimmer freuen sich über ❤️, Kommentare und was ihr sonst noch an Unterstützung habt ✊

Foto (📷) von @maria.feck / Greenpeace

#greenpeace #ilovehh#hamburg #hh #welovehh #typischhamburg #365_tage_hamburg #hamburgmeineperle #meineperle #hamburgliebe #instahamburg #ilovehamburg #hamburgliebe #hamburgcity #ig_hamburg #igsershamburg #klimaschutz #merkel #g20 #endcoal #nocoal #G20Protestwelle",1926
277,2017-06-16T09:37:40.000Z,"Leuchtender Protest heute Morgen an der Elbphilharmonie in Hamburg: #PlanetEarthFirst. Der Schutz unseres Planeten muss an erster Stelle stehen – vor den nationalen wirtschaftlichen Interessen einzelner Länder. In die Elbphilharmonie wird Angela Merkel am 7. Juli die Staats- und Regierungschefs der G20-Länder einladen. Bei dem Treffen in Hamburg wird auch Klimaschutz ein Rolle spielen.

Zusammen mit der Projektion spielte der Pianist Michael Abramovich auf einem schwimmenden Konzertflügel auf der Elbe Frédéric Chopins Nocturne op. 9, Nr. 2 in Es-Dur.

Wenn ihr das Video zu der Aktion nicht verpassen wollt, abonniert unseren Youtube-Kanal: www.youtube.com/user/GreenpeaceDE

Wenn ihr die Botschaft verbreiten möchtet, bestellt euch unsere Aufkleber und Tattoos: https://www.greenpeace.de/ratgeber

Foto (📷) von Daniel Mueller / Greenpeace

#greenpeace #ilovehh #elphi #hamburg #hh #welovehh #typischhamburg #365_tage_hamburg #hamburgmeineperle #meineperle #hamburgliebe #instahamburg #ilovehamburg #hamburgliebe #hamburgcity #ig_hamburg #igsershamburg #klimaschutz #merkel #elbphilharmonie #g20",1899
271,2017-07-02T15:24:39.000Z,"25.000 Menschen haben heute in Hamburg bei der #G20Protestwelle für eine bessere Welt demonstriert. Großes DANKE an alle, die dabei waren 💚 PS: Wir geben zu die @greenpeacejugend ist Vorne dabei, wenn’s um kreative Botschaften geht.

Nicht nur zu Land und Wasser, sogar in der Luft wurde protestiert (dank Ballons). Seit dem Vormittag sammeln sich Menschen in der Hamburger Innenstadt, um im Vorfeld des G20-Gipfels dessen Teilnehmer noch einmal eindrücklich an die wirklich wichtigen Themen zu erinnern: einen fairen Welthandel, die Bekämpfung sozialer Ungleichheit und den Schutz des Klimas. Gemeinsam mit vielen weiteren Akteuren der Zivilgesellschaft hat Greenpeace aufgerufen, sich an diesem Wochenende an dem friedlichen Protest zu beteiligen.

Der G20-Gipfel in Hamburg will „eine vernetzte Welt gestalten“. So das Motto. Das sollte auch jene Staaten einschließen, die besonders von Hochwassern, Dürren und anderen Folgen der Klimaerhitzung betroffen sind.

Der Protest vor dem Konferenzbeginn hat seinen Grund. Am 7. und 8. Juli herrscht in Hamburg Ausnahmezustand: In der Innenstadt herrscht Versammlungsverbot. Das kann man undemokratisch finden, bevormundend oder ausgrenzend. Es hindert die Hamburger allerdings nicht, am Wochenende davor ihre Meinung zu sagen.

Alle Hintergründe zu G20 ➡ www.greenpeace.de

Foto (📷) von @bentestachowske & Chris Grodotzki / Greenpeace

#greenpeace #hamburg #hh klimaschutz #merkel #g20 #endcoal #nocoal #G20Protestwelle",1174
306,2017-01-20T13:31:26.000Z,"Brücken bauen statt Mauern ❤💛💚 Die Botschaft von 50 Greenpeace-Aktivisten für Toleranz und Völkerverständigung aus Berlin. Heute wird der neue US-Präsidenten Donald Trump ins Amt eingeführt. In Berlin erinnern sich die Menschen schmerzlich an die Folgen einer Politik, die auf Angst und Fremdenfeindlichkeit gründet. Die großen Probleme unserer Zeit wie die Klimazerstörung und die wachsende globale Ungerechtigkeit, lassen sich nur gemeinsam lösen. Wir brauchen Brücken, keine Mauern.

Seid ihr auch der Meinung? ☮️ ✊

Foto (📷) Chris Grodotzki / Greenpeace

#greenpeace #bridgesnotwalls #Inauguration #USA #Trump",1023
291,2017-02-17T09:50:36.000Z,"Globalen Herausforderungen wie der Erderwärmung muss sich die Welt gemeinsam stellen. Greenpeace-Aktivisten protestierten gestern am Rand der G20-Außenministerkonferenz in Bonn für eine gemeinsame Bewältigung globaler Probleme.

Die Sorgen um das Klima sind berechtigt: Zu Gast in Bonn ist Gabriels amerikanischer Amtskollege Rex Tillerson. Der ehemalige Geschäftsführer des Ölkonzerns Exxon Mobile – ein Unternehmen, das jahrzehntelang den Klimawandel verharmlost hat – vertritt die Politik der Trump-Regierung. Sein Chef hält die Erderwärmung für eine Erfindung und hat bereits mehrfach angekündigt, aus den Pariser Klimavereinbarungen auszuscheren. Trump schwadronierte bislang von einer Energiepolitik, die weiterhin vor allem auf Kohle und Öl fußt. Der Schutz vor dem Klimawandel, der durch Stürme, Starkregen oder anhaltende Trockenzeiten auch in den USA immer größere Schäden anrichtet, soll darin keine Rolle mehr spielen. Ende Januar haben die regierenden Republikaner den Entwurf eines Gesetzes eingebracht, alle Zahlungen der USA an den Weltklimarat oder den Grünen Klimafonds zu kappen.

Weitere Hintergründe ➡ www.greenpeace.de

Foto (📷) Ruben Neugebauer / Greenpeace

#greenpeace #G20 #G20bonn #resist #energiewende #trump #stoptrumpscabinet #keepitintheground #RejectRex #rextillerson #tillerson #exxon #exxonmobil #bonn #bonnstagram #meinBonn #foreignminister #germany2017 #worldconference #außenminister",886
