,created_time,message,success
922,2017-01-07 12:59:56,"Agrarwende 2050: Weniger Nutztiere = mehr Klimaschutz! 💚 Wenn Deutschland seine Klimaschutzziele erreichen will, muss sich der Fleischkonsum hierzulande bis 2050 halbieren! Es müssen viel, viel weniger Nutztiere gehalten werden – und dafür besser. Wie der Weg zu einer Landwirtschaft der Zukunft aussehen kann, zeigt unser Kursbuch Agrarwende 2050 > www.greenpeace.de/th…/landwirtschaft/her-mit-dem-guten-leben",2464.0
906,2017-01-19 16:39:47,"So geht's nicht weiter! Die Wasserwirtschaft warnt, dass die Wasserpreise in Deutschland wegen der Nitratverschmutzung regional um fast zwei Drittel steigen könnten. Deutschland braucht eine Agrarwende! Wie die aussehen kann, zeigt unser Kursbuch Agrarwende 2050 >> http://www.greenpeace.de/…/landwirt…/her-mit-dem-guten-leben",1867.0
911,2017-01-15 13:45:02,"Verbraucher in Deutschland wollen wissen, aus welcher Haltung Fleisch-Produkte stammen: 79 Prozent der Bundesbürger sind der Meinung, dass eine Kennzeichnung verpflichtend vorgeschrieben werden sollte (http://gpurl.de/Fcf3f). Landwirtschaftsminister Christian Schmidt (CSU) schlägt trotzdem nur ein freiwilliges Tierwohl-Siegel vor. Ganz schwach, Herr Schmidt!",1646.0
930,2017-01-01 14:30:48,"Greenpeace nimmt keine Gelder von Konzernen, Parteien oder vom Staat. Wir wollen und müssen frei von jeder äußeren Beeinflussung bleiben, um wirklich unabhängig zu agieren (http://fal.cn/Q9Ra).",1268.0
914,2017-01-12 14:30:05,"Bienen gefährdeter als bisher angenommen! Europaweit nimmt das Bienensterben zu. Vor allem giftige Neonikotinoide setzen den Bienen und anderen Bestäubern zu. Eine von Greenpeace in Auftrag gegebene Studie fasst die Erkenntnisse der jüngsten Forschung zu einer neuen Gefährdungsbeurteilung zusammen. Fazit: Der einzige Weg, Bestäuber zu schützen, ist die Umstellung auf eine nachhaltige Landwirtschaft: http://fal.cn/QUZV",1092.0
