,created_time,message,success
104,2017-09-22T10:57:31.000Z,"Jeder Künstler, jeder Beat und jeder Euro bringen soziale Projekte in Bewegung. Dafür schenken Künstler wie @lesliecliofficial der Plattform @musikbewegt_de ihre Stimme. Heute waren sie zu Gast im Lemonaid #socialbus auf dem @reeperbahn_festival und haben darüber gesprochen.",1042
201,2017-01-12T15:54:58.000Z,#lemonaid #charitea #drinkinghelps #trinkenhilft #organic #fairtrade,732
37,2018-03-24T06:50:25.000Z,"Hey #EarthHour, we're ready. #lemonaid #drinkinghelps
+++ Heute Abend um 20:30 machen alle für eine Stunde das Licht aus um so ein globales Zeichen für den Klimaschutz zu setzen. Macht mit! +++ 📷: @Lea Aring
•
•
•
•
•
#diy #upcycling #earthhour2018 #renewablenergy #climatechange #nocoal #cleanenergy #gorenewable #change #nonuclear #changeclimatechange #klimaschutz #klimanwandel #klimakrise #savetheplanet #savethenature #saveourworld",387
58,2018-01-15T15:20:10.000Z,"Was kostet die Welt? Ach ja? Dann ne kleine Limo bitte.
•
•
•
•
•
#drinks #organic #fairtrade #bio #fresh #vegan #drinkinghelps #trinkenhilft #lemonaid",170
8,2018-06-14T18:46:29.000Z,"Wir begleiten Skaterin @caroline.dynybil auf ihrem Weg zu den Olympischen Spielen 2020. Sie hat uns erzählt, wie sie zum Skaten gekommen ist - und warum Frauen das Boarden bereichern. Trinken hilft. Skaten auch. Seht selbst! #lemonaid #skateaid #trinkenhilft #skatelife 📷: Yvonne Labedzki 📷: Iris König",151
